"","runtime","isAuto","qty","totImps","maxInks","totInks","locs","gini"
"359",3346,0,30,120,1,2,2,0
"360",1581,0,30,60,1,1,1,0
"361",3083,0,23,92,1,2,2,0
"362",4425,0,23,92,1,2,2,0
"363",2,0,12,24,1,1,1,0
"364",2722,0,27,108,1,2,2,0
"365",620,0,12,12,1,1,1,0
"366",3403,0,26,104,1,2,2,0
"367",2,0,3,6,1,1,1,0
"368",1318,0,41,82,1,1,1,0
"369",526,0,11,22,1,1,1,0
"370",3490,0,100,200,1,2,2,0
"371",2300,0,40,160,3,3,1,0
"372",252,0,3,6,1,1,1,0
"373",2355,0,45,90,1,1,1,0
"374",1831,1,50,50,1,1,1,0
"375",4504,1,100,400,1,1,1,0
"376",671,0,9,18,1,2,2,0
"377",653,0,3,12,2,2,1,0
"378",555,0,5,10,1,2,2,0
"379",880,0,6,24,1,2,2,0
"380",7397,1,78,156,2,2,1,0
"381",4279,0,32,128,1,2,2,0
"382",4024,1,65,260,2,4,2,0
"383",1985,0,14,70,4,5,2,0.3
"384",749,0,22,44,1,1,1,0
"385",4825,0,33,132,3,3,1,0
"386",880,0,8,16,1,1,1,0
"387",1402,0,15,30,1,1,1,0
"388",2104,0,60,240,1,2,2,0
"389",1230,0,22,44,1,2,2,0
"390",2523,0,16,64,1,2,2,0
"391",702,0,12,24,1,1,1,0
"392",2,0,5,20,1,2,2,0
"393",4043,0,24,96,1,2,2,0
"394",875,0,24,24,1,1,1,0
"395",4001,1,105,210,3,4,2,0.25
"396",1153,0,40,40,1,1,1,0
"397",1085,0,3,6,1,2,2,0
"398",3213,0,24,96,1,2,2,0
"399",2169,0,30,90,2,2,1,0
"400",544,0,6,12,2,2,1,0
"401",3765,1,87,174,3,4,2,0.25
"402",2801,0,64,128,1,2,2,0
"403",2992,1,200,200,1,1,1,0
"404",968,0,10,40,1,2,2,0
"405",427,0,7,14,1,1,1,0
"406",13501,0,15,60,1,2,2,0
"407",4615,1,100,400,1,2,2,0
"408",294,0,3,6,1,2,2,0
"409",1175,0,20,40,1,2,2,0
"410",453,0,12,12,1,1,1,0
"411",99,0,4,4,1,1,1,0
"412",3619,0,24,144,3,4,2,0.25
"413",818,0,20,40,1,2,2,0
"414",382,0,12,12,1,1,1,0
"415",591,0,11,22,1,1,1,0
"416",9702,1,45,180,1,2,2,0
"417",9475,1,80,320,4,5,2,0.3
"418",1440,1,44,44,1,1,1,0
"419",745,0,10,10,1,1,1,0
"420",1,0,70,210,2,3,2,0.17
"421",419,0,4,16,2,2,1,0
"422",952,0,10,20,1,2,2,0
"423",1798,0,15,60,1,2,2,0
"424",5773,1,74,148,1,1,1,0
"425",617,0,7,14,1,1,1,0
"426",1118,0,30,60,1,1,1,0
"427",863,0,3,12,1,2,2,0
"428",1841,0,31,62,1,2,2,0
"429",809,0,10,20,1,2,2,0
"430",2893,0,24,96,2,4,2,0
"431",227,0,3,6,1,1,1,0
"432",2434,0,21,84,2,4,2,0
"433",497,0,7,14,1,1,1,0
"434",636,0,13,26,2,2,1,0
"435",1683,1,72,144,2,2,1,0
"436",418,0,7,21,2,2,1,0
"437",297,0,14,28,1,1,1,0
"438",3642,0,25,100,2,3,2,0.17
"439",1959,0,50,150,2,2,1,0
"440",315,0,5,5,1,1,1,0
"441",3623,0,20,80,1,2,2,0
"442",1685,0,13,52,1,2,2,0
"443",3540,0,20,80,1,2,2,0
"444",813,0,5,10,1,1,1,0
"445",8895,0,30,390,6,8,2,0.25
"446",355,0,13,26,1,1,1,0
"447",2421,0,8,16,1,1,1,0
"448",1147,0,14,56,1,2,2,0
"449",341,0,10,30,2,2,1,0
"450",4,0,6,24,2,2,1,0
"451",747,0,9,18,1,2,2,0
"452",10363,0,8,16,1,2,2,0
"453",3060,0,10,40,1,2,2,0
"454",1080,0,20,80,1,2,2,0
"455",269,0,7,14,1,1,1,0
"456",1715,0,6,36,1,2,2,0
"457",871,0,4,8,1,2,2,0
"458",1520,0,21,42,1,2,2,0
"459",1937,0,5,20,1,2,2,0
"460",843,1,100,100,2,2,1,0
"461",1533,0,3,3,1,1,1,0
"462",356,0,12,12,1,1,1,0
"463",3737,0,27,162,2,3,2,0.17
"464",67605,0,12,36,2,3,2,0.17
"465",355,0,7,7,1,1,1,0
"466",1641,1,50,200,1,2,2,0
"467",1035,0,19,38,1,1,1,0
"468",5900,0,27,162,1,2,2,0
"469",764,0,12,12,1,1,1,0
"470",237,0,10,10,1,1,1,0
"471",2146,0,17,68,1,2,2,0
"472",2331,0,13,65,3,5,2,0.1
"473",1443,0,27,54,2,2,1,0
"474",94,0,3,9,2,2,1,0
"475",3,0,17,34,1,1,1,0
"476",651,0,7,21,2,2,1,0
"477",2271,0,24,24,1,1,1,0
"478",146,0,3,3,1,1,1,0
"479",2067,0,12,72,1,2,2,0
"480",1242,0,14,28,1,1,1,0
"481",1746,0,13,52,1,2,2,0
"482",1634,0,30,60,1,1,1,0
"483",165,0,4,4,1,1,1,0
"484",3525,1,59,118,1,2,2,0
"485",1004,0,7,28,1,2,2,0
"486",250,0,13,13,1,1,1,0
"487",409,0,3,6,1,1,1,0
"488",1800,0,24,96,2,2,1,0
"489",2313,0,12,24,1,2,2,0
"490",1636,0,21,42,1,2,2,0
"491",1028,0,20,40,1,1,1,0
"492",791,0,15,45,1,2,2,0
"493",1141,0,8,8,1,1,1,0
"494",253,0,14,14,1,1,1,0
"495",71,0,3,6,1,1,1,0
"496",255,0,6,12,1,1,1,0
"497",3186,0,10,40,1,2,2,0
"498",679,0,9,18,1,1,1,0
"499",16,0,5,15,2,2,1,0
"500",4362,0,20,180,2,4,2,0
"501",575,0,15,15,1,1,1,0
"502",1832,0,3,6,1,2,2,0
