"","runtime","isAuto","qty","totImps","maxInks","totInks","locs","gini","timePerPc","timePerImp","inksPerPc"
"221",2716,1,48,192,2,3,2,0.17,56.5833333333333,14.1458333333333,0.0625
"222",686,1,35,35,4,4,1,0,19.6,19.6,0.114285714285714
"223",4248,1,500,1000,1,2,2,0,8.496,4.248,0.004
"224",2543,1,40,120,4,5,2,0.3,63.575,21.1916666666667,0.125
"225",3925,1,40,160,3,5,2,0.1,98.125,24.53125,0.125
"226",2001,1,120,240,2,2,1,0,16.675,8.3375,0.0166666666666667
"227",3235,1,30,120,2,3,2,0.17,107.833333333333,26.9583333333333,0.1
"228",8102,1,200,400,1,2,2,0,40.51,20.255,0.01
"229",4793,1,78,156,1,1,1,0,61.4487179487179,30.724358974359,0.0128205128205128
"230",3381,1,125,250,1,1,1,0,27.048,13.524,0.008
"231",925,1,75,150,1,2,2,0,12.3333333333333,6.16666666666667,0.0266666666666667
"232",1880,1,25,100,1,2,2,0,75.2,18.8,0.08
"233",584,1,36,36,1,1,1,0,16.2222222222222,16.2222222222222,0.0277777777777778
"234",14865,1,550,1100,1,2,2,0,27.0272727272727,13.5136363636364,0.00363636363636364
"235",3963,1,51,204,1,2,2,0,77.7058823529412,19.4264705882353,0.0392156862745098
"236",713,1,70,70,1,1,1,0,10.1857142857143,10.1857142857143,0.0142857142857143
"237",2352,1,250,500,1,1,1,0,9.408,4.704,0.004
"238",1704,1,50,100,1,2,2,0,34.08,17.04,0.04
"239",816,1,45,90,1,2,2,0,18.1333333333333,9.06666666666667,0.0444444444444444
"240",1830,1,33,132,1,2,2,0,55.4545454545455,13.8636363636364,0.0606060606060606
"241",754,1,35,35,1,1,1,0,21.5428571428571,21.5428571428571,0.0285714285714286
"242",571,1,29,58,1,1,1,0,19.6896551724138,9.8448275862069,0.0344827586206897
"243",1014,1,34,68,1,1,1,0,29.8235294117647,14.9117647058824,0.0294117647058824
"244",1341,1,49,196,2,4,2,0,27.3673469387755,6.84183673469388,0.0816326530612245
"245",1968,1,36,72,1,2,2,0,54.6666666666667,27.3333333333333,0.0555555555555556
"246",5070,1,100,400,1,2,2,0,50.7,12.675,0.02
"247",1269,1,50,50,2,2,1,0,25.38,25.38,0.04
"248",2095,1,37,148,2,3,2,0.17,56.6216216216216,14.1554054054054,0.0810810810810811
"249",1408,1,57,114,1,1,1,0,24.7017543859649,12.3508771929825,0.0175438596491228
