"","runtime","isAuto","qty","totImps","maxInks","totInks","locs","gini","timePerPc","timePerImp","inksPerPc"
"130",2074,0,35,70,1,1,"1",0,59.2571428571429,29.6285714285714,0.0285714285714286
"131",3393,0,32,128,1,2,"2",0,106.03125,26.5078125,0.0625
"132",875,0,12,24,1,1,"1",0,72.9166666666667,36.4583333333333,0.0833333333333333
"133",961,0,15,30,1,1,"1",0,64.0666666666667,32.0333333333333,0.0666666666666667
"134",2409,0,15,45,1,1,"1",0,160.6,53.5333333333333,0.0666666666666667
"135",472,0,6,12,1,1,"1",0,78.6666666666667,39.3333333333333,0.166666666666667
"136",145,0,3,6,1,1,"1",0,48.3333333333333,24.1666666666667,0.333333333333333
"137",222,0,5,10,1,1,"1",0,44.4,22.2,0.2
"138",2119,0,7,42,1,2,"2",0,302.714285714286,50.4523809523809,0.285714285714286
"139",596,0,6,12,1,1,"1",0,99.3333333333333,49.6666666666667,0.166666666666667
"140",1023,0,12,24,1,2,"2",0,85.25,42.625,0.166666666666667
"141",463,0,9,18,1,1,"1",0,51.4444444444444,25.7222222222222,0.111111111111111
"142",2152,0,20,40,1,1,"1",0,107.6,53.8,0.05
"143",580,0,8,24,3,3,"1",0,72.5,24.1666666666667,0.375
"144",408,0,9,18,2,2,"1",0,45.3333333333333,22.6666666666667,0.222222222222222
"145",402,0,4,8,1,1,"1",0,100.5,50.25,0.25
"146",914,0,20,40,2,2,"1",0,45.7,22.85,0.1
"147",4383,0,30,120,1,2,"2",0,146.1,36.525,0.0666666666666667
"148",210,0,4,8,1,1,"1",0,52.5,26.25,0.25
"149",320,0,3,6,3,3,"1",0,106.666666666667,53.3333333333333,1
"150",1799,0,10,40,1,2,"2",0,179.9,44.975,0.2
"151",1839,0,18,36,1,1,"1",0,102.166666666667,51.0833333333333,0.0555555555555556
"152",9851,0,25,250,2,6,"4",0.17,394.04,39.404,0.24
"153",643,0,19,19,1,1,"1",0,33.8421052631579,33.8421052631579,0.0526315789473684
"154",247,0,5,10,1,1,"1",0,49.4,24.7,0.2
"155",3046,0,10,80,2,4,"3",0.17,304.6,38.075,0.4
"156",487,0,10,20,2,2,"1",0,48.7,24.35,0.2
"157",210,0,6,6,1,1,"1",0,35,35,0.166666666666667
"158",2416,0,10,60,2,4,"2",0,241.6,40.2666666666667,0.4
"159",375,0,5,15,1,1,"1",0,75,25,0.2
"160",1059,0,10,40,1,2,"2",0,105.9,26.475,0.2
