"","orderId","tab_id","dopa_id","runTime","tabsPerOrder","tab_tot_pcs","dopa_tot_imp","printer","dopa_tot_inks","dopas_per_tab","inks_per_tab","tot_imps_per_tab","tab_score_reg","tab_score_weighted","stationTypeId","good","actual","pred","WSPP"
"319",306076,124292,199753,363,1,10,10,190801,1,1,1,10,1,10,2,1,"Manual","Manual",1
"320",306072,124288,199747,3266,1,32,32,190801,1,2,2,64,2,128,2,1,"Manual","Manual",4
"321",306072,124288,199748,3266,1,32,32,190801,1,2,2,64,2,128,2,1,"Manual","Manual",4
"322",306067,124283,199737,1820,1,12,24,581359,1,2,2,48,2,96,2,1,"Manual","Manual",8
"323",306067,124283,199738,1820,1,12,24,581359,1,2,2,48,2,96,2,1,"Manual","Manual",8
"324",306064,124280,199732,0,1,50,100,490995,1,2,2,200,2,400,1,1,"Automatic","Automatic",8
"325",306064,124280,199733,0,1,50,100,490995,1,2,2,200,2,400,1,1,"Automatic","Automatic",8
"326",306058,124273,199720,2585,1,32,128,50866,2,2,3,192,2.44949,470.302,2,1,"Manual","Manual",14.6969375
"327",306058,124273,199721,2585,1,32,64,50866,1,2,3,192,2.44949,470.302,2,1,"Manual","Manual",14.6969375
"328",306056,124271,199718,2974,1,40,80,404135,1,1,1,80,1,80,2,1,"Manual","Manual",2
"329",306053,124267,199710,748,1,3,6,50866,1,2,2,12,2,24,2,1,"Manual","Manual",8
"330",306053,124267,199711,748,1,3,6,50866,1,2,2,12,2,24,2,1,"Manual","Manual",8
"331",306044,124255,199689,424,1,5,15,50866,2,1,2,15,1.41421,21.2132,2,1,"Manual","Manual",4.24264
"332",306041,124252,199685,747,1,20,40,299568,1,2,2,80,2,160,2,1,"Manual","Manual",8
"333",306041,124252,199686,747,1,20,40,299568,1,2,2,80,2,160,2,1,"Manual","Manual",8
"334",306039,124250,199681,1294,1,12,24,53821,2,2,3,36,2.44949,88.1816,2,1,"Manual","Manual",7.34846666666667
"335",306039,124250,199682,1294,1,12,12,53821,1,2,3,36,2.44949,88.1816,2,1,"Manual","Manual",7.34846666666667
"336",306035,124246,199676,7675,1,30,60,581359,2,1,2,60,1.41421,84.8528,2,1,"Manual","Manual",2.82842666666667
"337",306033,124244,199673,799,1,3,6,299568,1,2,2,12,2,24,2,1,"Manual","Manual",8
"338",306033,124244,199674,799,1,3,6,299568,1,2,2,12,2,24,2,1,"Manual","Manual",8
"339",306032,124243,199672,1645,1,8,8,581359,1,1,1,8,1,8,2,1,"Manual","Manual",1
"340",306030,124240,199668,368,1,4,4,53821,1,2,2,8,2,16,2,1,"Manual","Manual",4
"341",306030,124240,199669,368,1,4,4,53821,1,2,2,8,2,16,2,1,"Manual","Manual",4
"342",306029,124239,199667,517,1,12,24,191063,1,2,1,24,1.41421,33.9411,2,1,"Manual","Manual",2.828425
"343",306025,124231,199651,2393,1,100,200,242865,1,2,2,400,2,800,1,1,"Automatic","Automatic",8
